gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,bluetopattack,bluetopdefense,bluetopmagic,bluetopdifficulty,bluetopFighter,bluetopTank,bluetopMage,bluetopAssassin,bluetopSupport,bluetopMarksman,bluetophp,bluetophpperlevel,bluetopmp,bluetopmpperlevel,bluetopmovespeed,bluetoparmor,bluetoparmorperlevel,bluetopspellblock,bluetopspellblockperlevel,bluetopattackrange,bluetophpregen,bluetophpregenperlevel,bluetopmpregen,bluetopmpregenperlevel,bluetopattackdamage,bluetopattackdamageperlevel,bluetopattackspeedperlevel,bluetopattackspeed,bluejungleattack,bluejungledefense,bluejunglemagic,bluejungledifficulty,bluejungleFighter,bluejungleTank,bluejungleMage,bluejungleAssassin,bluejungleSupport,bluejungleMarksman,bluejunglehp,bluejunglehpperlevel,bluejunglemp,bluejunglempperlevel,bluejunglemovespeed,bluejunglearmor,bluejunglearmorperlevel,bluejunglespellblock,bluejunglespellblockperlevel,bluejungleattackrange,bluejunglehpregen,bluejunglehpregenperlevel,bluejunglempregen,bluejunglempregenperlevel,bluejungleattackdamage,bluejungleattackdamageperlevel,bluejungleattackspeedperlevel,bluejungleattackspeed,bluemidattack,bluemiddefense,bluemidmagic,bluemiddifficulty,bluemidFighter,bluemidTank,bluemidMage,bluemidAssassin,bluemidSupport,bluemidMarksman,bluemidhp,bluemidhpperlevel,bluemidmp,bluemidmpperlevel,bluemidmovespeed,bluemidarmor,bluemidarmorperlevel,bluemidspellblock,bluemidspellblockperlevel,bluemidattackrange,bluemidhpregen,bluemidhpregenperlevel,bluemidmpregen,bluemidmpregenperlevel,bluemidattackdamage,bluemidattackdamageperlevel,bluemidattackspeedperlevel,bluemidattackspeed,blueadcattack,blueadcdefense,blueadcmagic,blueadcdifficulty,blueadcFighter,blueadcTank,blueadcMage,blueadcAssassin,blueadcSupport,blueadcMarksman,blueadchp,blueadchpperlevel,blueadcmp,blueadcmpperlevel,blueadcmovespeed,blueadcarmor,blueadcarmorperlevel,blueadcspellblock,blueadcspellblockperlevel,blueadcattackrange,blueadchpregen,blueadchpregenperlevel,blueadcmpregen,blueadcmpregenperlevel,blueadcattackdamage,blueadcattackdamageperlevel,blueadcattackspeedperlevel,blueadcattackspeed,bluesupportattack,bluesupportdefense,bluesupportmagic,bluesupportdifficulty,bluesupportFighter,bluesupportTank,bluesupportMage,bluesupportAssassin,bluesupportSupport,bluesupportMarksman,bluesupporthp,bluesupporthpperlevel,bluesupportmp,bluesupportmpperlevel,bluesupportmovespeed,bluesupportarmor,bluesupportarmorperlevel,bluesupportspellblock,bluesupportspellblockperlevel,bluesupportattackrange,bluesupporthpregen,bluesupporthpregenperlevel,bluesupportmpregen,bluesupportmpregenperlevel,bluesupportattackdamage,bluesupportattackdamageperlevel,bluesupportattackspeedperlevel,bluesupportattackspeed,redtopattack,redtopdefense,redtopmagic,redtopdifficulty,redtopFighter,redtopTank,redtopMage,redtopAssassin,redtopSupport,redtopMarksman,redtophp,redtophpperlevel,redtopmp,redtopmpperlevel,redtopmovespeed,redtoparmor,redtoparmorperlevel,redtopspellblock,redtopspellblockperlevel,redtopattackrange,redtophpregen,redtophpregenperlevel,redtopmpregen,redtopmpregenperlevel,redtopattackdamage,redtopattackdamageperlevel,redtopattackspeedperlevel,redtopattackspeed,redjungleattack,redjungledefense,redjunglemagic,redjungledifficulty,redjungleFighter,redjungleTank,redjungleMage,redjungleAssassin,redjungleSupport,redjungleMarksman,redjunglehp,redjunglehpperlevel,redjunglemp,redjunglempperlevel,redjunglemovespeed,redjunglearmor,redjunglearmorperlevel,redjunglespellblock,redjunglespellblockperlevel,redjungleattackrange,redjunglehpregen,redjunglehpregenperlevel,redjunglempregen,redjunglempregenperlevel,redjungleattackdamage,redjungleattackdamageperlevel,redjungleattackspeedperlevel,redjungleattackspeed,redmidattack,redmiddefense,redmidmagic,redmiddifficulty,redmidFighter,redmidTank,redmidMage,redmidAssassin,redmidSupport,redmidMarksman,redmidhp,redmidhpperlevel,redmidmp,redmidmpperlevel,redmidmovespeed,redmidarmor,redmidarmorperlevel,redmidspellblock,redmidspellblockperlevel,redmidattackrange,redmidhpregen,redmidhpregenperlevel,redmidmpregen,redmidmpregenperlevel,redmidattackdamage,redmidattackdamageperlevel,redmidattackspeedperlevel,redmidattackspeed,redadcattack,redadcdefense,redadcmagic,redadcdifficulty,redadcFighter,redadcTank,redadcMage,redadcAssassin,redadcSupport,redadcMarksman,redadchp,redadchpperlevel,redadcmp,redadcmpperlevel,redadcmovespeed,redadcarmor,redadcarmorperlevel,redadcspellblock,redadcspellblockperlevel,redadcattackrange,redadchpregen,redadchpregenperlevel,redadcmpregen,redadcmpregenperlevel,redadcattackdamage,redadcattackdamageperlevel,redadcattackspeedperlevel,redadcattackspeed,redsupportattack,redsupportdefense,redsupportmagic,redsupportdifficulty,redsupportFighter,redsupportTank,redsupportMage,redsupportAssassin,redsupportSupport,redsupportMarksman,redsupporthp,redsupporthpperlevel,redsupportmp,redsupportmpperlevel,redsupportmovespeed,redsupportarmor,redsupportarmorperlevel,redsupportspellblock,redsupportspellblockperlevel,redsupportattackrange,redsupporthpregen,redsupporthpregenperlevel,redsupportmpregen,redsupportmpregenperlevel,redsupportattackdamage,redsupportattackdamageperlevel,redsupportattackspeedperlevel,redsupportattackspeed,ratio_victoire_blueteam,ratio_victoire_redteam,diff_ratio_victoire
ESPORTSTMNT01/1415539,PCS,Berjaya Dragons,ahq eSports Club,Sylas,Trundle,Syndra,Ashe,Nautilus,MonkeyKing,RekSai,Galio,Aphelios,Thresh,3,4,8,5,0,0,1,1,0,0,525.0,115,280.0,50.0,340,27.0,4.0,32.0,1.75,175,9.0,0.9,7.0,0.8,61.0,3.0,3.5,0.645,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,8,5,2,3,1,1,0,0,0,0,540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,68.0,4.0,3.0,0.711,8,5,2,3,1,0,0,0,0,0,570.0,85,100.0,0.0,335,36.0,3.75,32.1,1.25,175,7.5,0.65,0.0,0.0,64.0,3.0,2.0,0.667,1,10,6,5,0,1,1,0,0,0,562.0,112,500.0,40.0,335,24.0,3.5,32.0,1.25,150,8.0,0.8,9.5,0.7,59.0,3.5,1.5,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,5,6,6,7,1,0,0,0,1,0,560.52,93,273.92,44.0,335,28.0,0.0,30.0,0.5,450,7.0,0.55,6.0,0.8,56.0,2.2,3.5,0.625,0.5135135135135135,0.2222222222222222,0.2912912912912913
ESPORTSTMNT03/1405938,VCS,OverPower Esports,Percent Esports,Renekton,Nidalee,Ryze,Ashe,Pantheon,MonkeyKing,RekSai,Karma,Senna,TahmKench,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,5,4,7,8,0,0,1,1,0,0,545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,61.0,3.5,3.22,0.638,2,2,10,7,1,0,1,0,0,0,575.0,98,300.0,50.0,340,22.0,3.0,36.0,0.5,550,8.0,0.8,8.0,1.0,58.0,3.0,2.112,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,9,4,3,4,1,0,0,1,0,0,580.0,95,317.12,31.0,355,40.0,3.75,28.0,1.25,175,10.0,0.65,7.356,0.45,64.0,3.3,2.95,0.644,8,5,2,3,1,1,0,0,0,0,540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,68.0,4.0,3.0,0.711,8,5,2,3,1,0,0,0,0,0,570.0,85,100.0,0.0,335,36.0,3.75,32.1,1.25,175,7.5,0.65,0.0,0.0,64.0,3.0,2.0,0.667,1,7,8,5,0,0,1,0,1,0,534.0,95,374.0,50.0,335,26.0,3.8,30.0,0.5,525,5.5,0.55,11.5,0.5,53.544,3.3,2.3,0.625,7,2,6,7,0,0,0,0,1,1,520.0,75,350.0,45.0,330,28.0,3.5,30.0,0.5,600,3.5,0.55,11.5,0.4,50.0,0.0,4.0,0.625,3,9,6,5,0,1,0,0,1,0,600.0,100,325.0,40.0,335,47.0,3.5,32.1,1.25,175,6.5,0.55,8.0,1.0,56.0,3.2,2.5,0.658,0.5205479452054794,0.5760869565217391,-0.05553901131625971
ESPORTSTMNT02/1294655,LCK,Afreeca Freecs,KT Rolster,Lucian,Karthus,Soraka,Aphelios,Braum,Sett,Sejuani,Nautilus,Kaisa,Rakan,8,5,3,6,0,0,0,0,0,1,571.0,86,348.88,38.0,335,28.0,3.0,30.0,0.5,500,3.75,0.65,8.176,0.7,64.0,2.75,3.3,0.638,2,2,10,7,0,0,1,0,0,0,550.0,87,467.0,30.5,335,20.88,3.5,30.0,0.5,450,6.5,0.55,8.0,0.8,45.66,3.25,2.11,0.625,2,5,7,3,0,0,1,0,1,0,535.0,74,425.0,40.0,325,32.0,3.8,30.0,0.5,550,2.5,0.5,11.5,0.4,50.0,3.0,2.14,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,3,9,4,3,0,1,0,0,1,0,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,55.376,3.2,3.5,0.644,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,5,7,6,4,1,1,0,0,0,0,560.0,100,400.0,40.0,340,34.0,4.25,32.1,1.25,150,8.5,1.0,7.0,0.7,66.0,4.0,3.5,0.688,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,8,5,3,6,0,0,0,0,0,1,600.0,88,344.88,38.0,335,28.0,3.0,30.0,0.5,525,3.5,0.55,8.2,0.45,59.0,1.7,1.8,0.644,2,4,8,5,0,0,0,0,1,0,540.0,85,315.0,50.0,335,32.0,3.9,32.1,1.25,300,5.0,0.5,8.75,0.5,62.0,3.5,3.0,0.635,0.2894736842105263,0.2972972972972973,-0.007823613086770986
6356-8164,LDL,Invictus Gaming Young,LNG Academy,Renekton,Ekko,Jayce,Ezreal,Nautilus,Volibear,Trundle,Syndra,Aphelios,Leona,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,5,3,7,8,1,0,0,1,0,0,585.0,85,280.0,50.0,340,32.0,3.0,32.0,1.25,125,9.0,0.9,7.0,0.8,58.0,3.0,3.3,0.688,8,4,3,7,1,0,0,0,0,1,560.0,90,375.0,45.0,335,27.0,3.5,30.0,0.5,125,6.0,0.6,6.0,0.8,54.0,4.25,3.0,0.658,7,2,6,7,0,0,1,0,0,1,530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,60.0,2.5,2.5,0.625,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,7,7,4,3,1,1,0,0,0,0,580.0,90,350.0,50.0,340,31.0,4.0,32.0,1.25,150,9.0,0.75,6.25,0.5,60.0,3.0,2.0,0.625,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,8,3,4,0,1,0,0,1,0,576.16,87,302.2,40.0,335,47.0,3.6,32.1,1.25,125,8.5,0.85,6.0,0.8,60.04,3.0,2.9,0.625,0.2894736842105263,0.6708860759493671,-0.3814123917388408
ESPORTSTMNT02/1394776,VCS,OverPower Esports,Team Secret,MonkeyKing,Nidalee,Ryze,Kaisa,Nautilus,Jax,Graves,Orianna,Aphelios,Braum,8,5,2,3,1,1,0,0,0,0,540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,68.0,4.0,3.0,0.711,5,4,7,8,0,0,1,1,0,0,545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,61.0,3.5,3.22,0.638,2,2,10,7,1,0,1,0,0,0,575.0,98,300.0,50.0,340,22.0,3.0,36.0,0.5,550,8.0,0.8,8.0,1.0,58.0,3.0,2.112,0.625,8,5,3,6,0,0,0,0,0,1,600.0,88,344.88,38.0,335,28.0,3.0,30.0,0.5,525,3.5,0.55,8.2,0.45,59.0,1.7,1.8,0.644,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,7,5,7,5,1,0,0,1,0,0,592.8,85,338.8,32.0,350,36.0,3.0,32.1,1.25,125,8.5,0.55,7.576,0.7,68.0,3.375,3.4,0.638,8,5,3,3,0,0,0,0,0,1,555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,68.0,3.0,2.6,0.475,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,3,9,4,3,0,1,0,0,1,0,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,55.376,3.2,3.5,0.644,0.36619718309859156,0.29411764705882354,0.07207953603976802
ESPORTSTMNT04/1250224,LEC,SK Gaming,FC Schalke 04 Esports,Kennen,Trundle,Orianna,Aphelios,Bard,Jayce,Olaf,Syndra,Ezreal,Nautilus,6,4,7,4,0,0,1,0,0,1,541.0,84,200.0,0.0,335,29.0,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,48.0,3.75,3.4,0.625,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,6,2,1,10,0,0,0,0,0,1,530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,57.0,2.0,2.1,0.64,4,4,5,9,0,0,1,0,1,0,560.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,52.0,3.0,2.0,0.625,8,4,3,7,1,0,0,0,0,1,560.0,90,375.0,45.0,335,27.0,3.5,30.0,0.5,125,6.0,0.6,6.0,0.8,54.0,4.25,3.0,0.658,9,5,3,3,1,1,0,0,0,0,597.24,93,315.6,42.0,350,35.0,3.0,32.1,1.25,125,8.5,0.9,7.466,0.575,68.0,3.5,2.7,0.694,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,7,2,6,7,0,0,1,0,0,1,530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,60.0,2.5,2.5,0.625,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,0.6046511627906976,0.6136363636363636,-0.008985200845666008
6345-8115,LDL,Legend Esport Gaming,Dominus Esports Young,Yasuo,Taliyah,Renekton,Varus,Braum,Volibear,Sylas,Sett,Sivir,Yuumi,8,4,4,10,1,0,0,1,0,0,490.0,87,100.0,0.0,345,30.0,3.4,32.0,1.25,175,6.5,0.9,0.0,0.0,60.0,3.2,2.5,0.697,1,7,8,5,0,0,1,0,1,0,532.0,90,425.0,30.0,335,20.0,3.5,30.0,0.5,525,7.0,0.7,9.335,0.85,58.0,3.3,1.36,0.625,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,3,9,4,3,0,1,0,0,1,0,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,55.376,3.2,3.5,0.644,7,7,4,3,1,1,0,0,0,0,580.0,90,350.0,50.0,340,31.0,4.0,32.0,1.25,150,9.0,0.75,6.25,0.5,60.0,3.0,2.0,0.625,3,4,8,5,0,0,1,1,0,0,525.0,115,280.0,50.0,340,27.0,4.0,32.0,1.75,175,9.0,0.9,7.0,0.8,61.0,3.0,3.5,0.645,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,9,3,1,4,0,0,0,0,0,1,562.0,90,284.0,50.0,335,26.0,3.25,30.0,0.5,500,3.25,0.55,8.0,0.9,63.0,3.0,1.6,0.625,5,1,8,2,0,0,1,0,1,0,480.0,70,400.0,45.0,330,25.0,3.0,25.0,0.3,500,7.0,0.55,10.0,0.4,55.0,3.1,1.0,0.625,0.4883720930232558,0.2894736842105263,0.19889840881272947
ESPORTSTMNT02/1405497,LFL,GamersOrigin,Misfits Premier,MonkeyKing,LeeSin,Syndra,Ezreal,Yuumi,Renekton,Volibear,Orianna,Caitlyn,Pyke,8,5,2,3,1,1,0,0,0,0,540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,68.0,4.0,3.0,0.711,8,5,3,6,1,0,0,1,0,0,575.0,85,200.0,0.0,345,33.0,3.7,32.1,1.25,125,7.5,0.7,50.0,0.0,70.0,3.2,3.0,0.651,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,7,2,6,7,0,0,1,0,0,1,530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,60.0,2.5,2.5,0.625,5,1,8,2,0,0,1,0,1,0,480.0,70,400.0,45.0,330,25.0,3.0,25.0,0.3,500,7.0,0.55,10.0,0.4,55.0,3.1,1.0,0.625,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,7,7,4,3,1,1,0,0,0,0,580.0,90,350.0,50.0,340,31.0,4.0,32.0,1.25,150,9.0,0.75,6.25,0.5,60.0,3.0,2.0,0.625,4,3,9,7,0,0,1,0,1,0,530.0,91,418.0,25.0,325,17.04,3.0,26.0,0.5,525,7.0,0.55,8.0,0.8,40.368,2.6,3.5,0.658,8,2,2,6,0,0,0,0,0,1,510.0,93,313.7,35.0,330,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,64.0,2.88,4.0,0.681,9,3,1,7,0,0,0,1,1,0,600.0,90,415.0,50.0,330,45.0,3.5,32.0,1.25,150,7.0,0.5,8.0,1.0,62.0,2.0,2.5,0.667,0.6481481481481481,0.3,0.34814814814814815
ESPORTSTMNT02/1296532,CK,Seorabeol Gaming,Team Dynamics,Mordekaiser,Olaf,Syndra,Ezreal,Yuumi,Sett,Trundle,Viktor,MissFortune,Bard,4,6,7,4,1,0,0,0,0,0,575.0,90,100.0,0.0,335,37.0,3.0,32.0,1.25,175,5.0,0.75,0.0,0.0,61.0,4.0,1.0,0.625,9,5,3,3,1,1,0,0,0,0,597.24,93,315.6,42.0,350,35.0,3.0,32.1,1.25,125,8.5,0.9,7.466,0.575,68.0,3.5,2.7,0.694,2,3,9,8,0,0,1,0,1,0,523.0,90,480.0,40.0,330,24.712,3.4,30.0,0.5,550,6.5,0.6,8.0,0.8,53.872,2.9,2.0,0.625,7,2,6,7,0,0,1,0,0,1,530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,60.0,2.5,2.5,0.625,5,1,8,2,0,0,1,0,1,0,480.0,70,400.0,45.0,330,25.0,3.0,25.0,0.3,500,7.0,0.55,10.0,0.4,55.0,3.1,1.0,0.625,8,5,1,2,1,1,0,0,0,0,600.0,93,0.0,0.0,340,33.0,4.0,32.0,1.25,125,7.0,0.5,0.0,0.0,60.0,4.0,1.75,0.625,7,6,2,5,1,1,0,0,0,0,616.0,96,281.0,45.0,350,37.0,2.7,32.1,1.25,175,6.0,0.75,7.5,0.6,68.0,3.0,2.9,0.67,2,4,10,9,0,0,1,0,0,0,530.0,90,405.0,25.0,335,23.0,4.0,30.0,0.5,525,8.0,0.65,8.0,0.8,53.0,3.0,2.11,0.658,8,2,5,1,0,0,0,0,0,1,570.0,93,325.84,35.0,325,28.0,3.0,30.0,0.5,550,3.75,0.65,8.042,0.65,52.0,2.7,2.25,0.656,4,4,5,9,0,0,1,0,1,0,560.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,52.0,3.0,2.0,0.625,0.5555555555555556,0.2222222222222222,0.33333333333333337
6011-7446,LPL,Royal Never Give Up,EDward Gaming,Ornn,JarvanIV,Kassadin,Senna,Nautilus,Mordekaiser,RekSai,Azir,Varus,Braum,5,9,3,5,1,1,0,0,0,0,590.0,95,340.6,45.0,335,33.0,4.0,32.1,1.25,175,9.0,0.9,8.01,0.6,69.0,3.5,2.0,0.625,6,8,3,5,1,1,0,0,0,0,570.0,90,300.0,40.0,340,34.0,3.6,32.1,1.25,175,8.0,0.7,6.5,0.45,64.0,3.4,2.5,0.658,3,5,8,8,0,0,1,1,0,0,576.0,90,397.6,67.0,335,19.0,2.8,30.0,0.5,150,6.0,0.5,6.0,0.8,58.852,3.9,3.7,0.64,7,2,6,7,0,0,0,0,1,1,520.0,75,350.0,45.0,330,28.0,3.5,30.0,0.5,600,3.5,0.55,11.5,0.4,50.0,0.0,4.0,0.625,4,6,6,6,1,1,0,0,0,0,576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,61.0,3.3,1.0,0.706,4,6,7,4,1,0,0,0,0,0,575.0,90,100.0,0.0,335,37.0,3.0,32.0,1.25,175,5.0,0.75,0.0,0.0,61.0,4.0,1.0,0.625,8,5,2,3,1,0,0,0,0,0,570.0,85,100.0,0.0,335,36.0,3.75,32.1,1.25,175,7.5,0.65,0.0,0.0,64.0,3.0,2.0,0.667,6,3,8,9,0,0,1,0,0,1,552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,52.0,2.8,3.0,0.625,7,3,4,2,0,0,1,0,0,1,530.0,91,360.0,33.0,330,27.0,3.4,30.0,0.5,575,3.5,0.55,8.0,0.8,61.0,3.0,3.0,0.658,3,9,4,3,0,1,0,0,1,0,540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,55.376,3.2,3.5,0.644,0.6666666666666666,0.6481481481481481,0.01851851851851849
6573-8899,LDL,LGD Gaming Young Team,Bilibili Gaming Junior,Gnar,Graves,Akali,Ashe,Karma,Lucian,Nidalee,Renekton,Jhin,Lux,6,5,5,8,1,1,0,0,0,0,510.0,65,100.0,0.0,335,32.0,2.5,30.0,0.5,175,4.5,1.75,0.0,0.0,59.0,3.0,6.0,0.625,8,5,3,3,0,0,0,0,0,1,555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,68.0,3.0,2.6,0.475,5,3,8,7,0,0,0,1,0,0,575.0,95,200.0,0.0,345,23.0,3.5,37.0,1.25,125,8.0,0.5,50.0,0.0,62.4,3.3,3.2,0.625,7,3,2,4,0,0,0,0,1,1,570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,61.0,2.96,3.33,0.658,1,7,8,5,0,0,1,0,1,0,534.0,95,374.0,50.0,335,26.0,3.8,30.0,0.5,525,5.5,0.55,11.5,0.5,53.544,3.3,2.3,0.625,8,5,3,6,0,0,0,0,0,1,571.0,86,348.88,38.0,335,28.0,3.0,30.0,0.5,500,3.75,0.65,8.176,0.7,64.0,2.75,3.3,0.638,5,4,7,8,0,0,1,1,0,0,545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,61.0,3.5,3.22,0.638,8,5,2,3,1,1,0,0,0,0,575.0,87,100.0,0.0,345,35.0,4.0,32.1,1.25,125,8.0,0.75,0.0,0.0,69.0,3.75,2.75,0.665,10,2,6,6,0,0,1,0,0,1,585.0,93,300.0,50.0,330,24.0,3.5,30.0,0.5,550,3.75,0.55,6.0,0.8,59.0,4.7,0.0,0.625,2,4,9,5,0,0,1,0,1,0,490.0,85,480.0,23.5,330,18.72,4.0,30.0,0.5,550,5.5,0.55,8.0,0.8,53.54,3.3,1.0,0.669,0.37333333333333335,0.29411764705882354,0.07921568627450981
