gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport
ESPORTSTMNT01/1434793,PCS,ahq eSports Club,Liyab Esports,Renekton,Volibear,Syndra,Ashe,TahmKench,Camille,Graves,Karma,Ezreal,Leona
ESPORTSTMNT03/1392229,OCS,Chiefs Academy,UTS Esports,Mordekaiser,JarvanIV,Ornn,MissFortune,Lulu,Sylas,Sejuani,Zilean,Varus,Sett
ESPORTSTMNT02/1395103,LJL,Crest Gaming Act,Rascal Jester,MonkeyKing,Graves,Kalista,Cassiopeia,Nautilus,Ornn,LeeSin,Katarina,Ezreal,Yuumi
ESPORTSTMNT01/1404517,BRCC,Redemption eSports Porto Alegre,Havan Liberty Gaming,Gangplank,Trundle,Vayne,Ashe,Nautilus,Vladimir,Graves,Galio,Aphelios,Thresh
ESPORTSTMNT06/1310104,LCL,One Breath Gaming,Unicorns Of Love.CIS,Volibear,Lillia,Lucian,Ashe,Leona,Renekton,Khazix,Orianna,Senna,Braum
6513-8716,LDL,Invictus Gaming Young,Victorious Gaming,Volibear,Nidalee,Lucian,Ashe,Morgana,Renekton,Graves,Cassiopeia,Varus,Thresh
5656-7252,LPL,LGD Gaming,LNG Esports,Renekton,Gragas,Irelia,Aphelios,Braum,Aatrox,JarvanIV,Leblanc,MissFortune,Leona
ESPORTSTMNT02/1281625,LCS.A,FlyQuest Academy,100 Thieves Academy,Sett,Karthus,Lucian,Xayah,Rakan,Aatrox,Sejuani,Cassiopeia,Aphelios,Nautilus
6305-7977,LDL,Young Miracles,V5 87,Ornn,Nunu,Zoe,Kalista,Leona,Jayce,Nidalee,Renekton,Kaisa,Alistar
6654-8724,LPL,Vici Gaming,Suning,Renekton,Volibear,Leblanc,Ashe,TahmKench,Gangplank,Olaf,Kassadin,Caitlyn,Lux
ESPORTSTMNT01/1390265,BRCC,unknown team,unknown team,Gangplank,Trundle,Syndra,MissFortune,Nautilus,Ornn,Graves,Leblanc,Aphelios,Lulu
ESPORTSTMNT06/1170080,TRA,Galakticos Academy,Beşiktaş Academy,Aatrox,JarvanIV,Zoe,MissFortune,Leona,Sett,LeeSin,Ryze,Ezreal,Braum
ESPORTSTMNT03/1241322,KeSPA,T1,SANDBOX Gaming,Jayce,JarvanIV,Orianna,MissFortune,Nautilus,Aatrox,Elise,Qiyana,Varus,TahmKench
ESPORTSTMNT04/1130621,TCL,Beşiktaş Esports,Papara SuperMassive,Soraka,JarvanIV,Camille,Syndra,Braum,Sett,Gragas,Nautilus,Senna,Leona
ESPORTSTMNT05/1520617,LCL,One Breath Gaming,RoX,Gangplank,RekSai,Ekko,Varus,Thresh,Mordekaiser,Sett,Zoe,Kalista,Blitzcrank
ESPORTSTMNT03/1433006,LCS,Team SoloMid,Cloud9,Shen,LeeSin,Azir,Ashe,Rakan,Lillia,Graves,Akali,Senna,TahmKench
ESPORTSTMNT02/1284743,VCS,CERBERUS Esports,Team Flash,Renekton,Gragas,Leblanc,Aphelios,Thresh,Ornn,Nidalee,Lissandra,Xayah,Blitzcrank
ESPORTSTMNT01/1313939,PCS,J Team,ahq eSports Club,Rumble,RekSai,Neeko,Kalista,Sett,Renekton,Sejuani,Kassadin,MissFortune,Nautilus
ESPORTSTMNT02/1331470,LCS,Counter Logic Gaming,Golden Guardians,Renekton,Sejuani,Corki,Ezreal,TahmKench,Aatrox,JarvanIV,Sylas,Varus,Ziggs
ESPORTSTMNT03/1401602,LCS.A,100 Thieves Academy,Golden Guardians Academy,Urgot,Trundle,Azir,Aphelios,Leona,MonkeyKing,Nidalee,TwistedFate,Ezreal,Rakan
ESPORTSTMNT02/1321871,LCS,Evil Geniuses,100 Thieves,Aatrox,LeeSin,Malzahar,Aphelios,Braum,Sett,Sejuani,Zoe,Varus,Thresh
ESPORTSTMNT03/1431682,VCS,Team Secret,Team Flash,Gangplank,Karthus,Lucian,Caitlyn,Morgana,Ornn,Nidalee,Malphite,Kaisa,Lulu
ESPORTSTMNT04/1250344,TRA,Royal Youth Academy,Beşiktaş Academy,Urgot,Trundle,Irelia,Kaisa,Nautilus,Aatrox,LeeSin,Orianna,Ashe,Karma
ESPORTSTMNT01/1302906,LFL,GameWard,Vitality.Bee,Camille,Olaf,Akali,Lucian,Nautilus,Rumble,JarvanIV,Syndra,MissFortune,Galio
ESPORTSTMNT02/1391876,CBLOL,Santos e-Sports,FURIA Esports,Aatrox,JarvanIV,Azir,Syndra,Nautilus,Ornn,LeeSin,Kassadin,Aphelios,TahmKench
ESPORTSTMNT05/1530265,TRA,Dark Passage Academy,Royal Youth Academy,Renekton,Volibear,Zoe,KogMaw,Lulu,Camille,Sejuani,Galio,Vayne,Janna
6526-8767,LDL,Young Miracles,LGD Gaming Young Team,Ornn,Kindred,Ekko,Aphelios,Sett,Mordekaiser,Graves,Rumble,Caitlyn,Thresh
6638-8618,LPL,Dominus Esports,Royal Never Give Up,Volibear,Lillia,Jayce,Jhin,Sett,Ornn,Olaf,Azir,Ashe,Nautilus
6226-7962,LPL,Bilibili Gaming,Victory Five,Renekton,Olaf,Leblanc,Aphelios,Blitzcrank,Mordekaiser,Graves,Syndra,Ashe,Thresh
ESPORTSTMNT02/1401338,OPL,Gravitas,Legacy Esports,MonkeyKing,Ekko,Lulu,Caitlyn,Bard,Renekton,Trundle,Cassiopeia,Senna,Thresh
ESPORTSTMNT05/1390249,LEC,Origen,FC Schalke 04 Esports,Gnar,Gragas,Leblanc,Senna,Nautilus,Renekton,Elise,Ryze,Varus,Braum
ESPORTSTMNT06/1210125,EM,eSuba,SuppUp eSports,Renekton,LeeSin,Syndra,Aphelios,Braum,Poppy,Graves,Chogath,MissFortune,Thresh
6603-8359,LPL,Suning,Bilibili Gaming,Renekton,Trundle,Zoe,Jhin,TahmKench,Kennen,Kindred,Syndra,Varus,Bard
6059-7512,LPL,Bilibili Gaming,Dominus Esports,Ornn,JarvanIV,Azir,MissFortune,Nautilus,Aatrox,LeeSin,Corki,Varus,Braum
ESPORTSTMNT01/1311512,VCS,V Gaming Adonis,GAM Esports,Pantheon,Sejuani,Irelia,Xayah,Blitzcrank,Aatrox,Qiyana,Syndra,Lucian,Nautilus
6712-8974,LDL,LGD Gaming Young Team,eStar Young,Ornn,Graves,Akali,Senna,Nautilus,Renekton,Nidalee,Leblanc,Ashe,Leona
ESPORTSTMNT02/1294582,LCK,Afreeca Freecs,KT Rolster,Sett,Poppy,Syndra,Ashe,Rumble,Mordekaiser,JarvanIV,Nautilus,Aphelios,Blitzcrank
ESPORTSTMNT03/1441007,LJL,Crest Gaming Act,Fukuoka SoftBank Hawks gaming,Renekton,Sett,Syndra,Jhin,Nautilus,Gangplank,Volibear,Zoe,Ezreal,Thresh
ESPORTSTMNT05/1510106,LEC,Misfits Gaming,SK Gaming,MonkeyKing,LeeSin,Akali,Aphelios,Nautilus,Volibear,Sett,Azir,Ezreal,Leona
ESPORTSTMNT03/1341601,LCK,SANDBOX Gaming,DAMWON Gaming,Ornn,LeeSin,Leblanc,Kalista,Braum,Jayce,Olaf,Galio,Varus,Thresh
ESPORTSTMNT02/1385182,LCK,SANDBOX Gaming,T1,Lucian,Gragas,Syndra,Varus,TahmKench,Jayce,Trundle,Azir,Kalista,Blitzcrank
ESPORTSTMNT05/1440707,LCS,FlyQuest,Team SoloMid,Gangplank,Trundle,Orianna,Xayah,Rakan,Aatrox,JarvanIV,Viktor,Aphelios,Nautilus
ESPORTSTMNT03/1432993,LLA,All Knights,Rainbow7,Kennen,Sett,Galio,Kalista,Rakan,Shen,LeeSin,Neeko,Senna,TahmKench
ESPORTSTMNT03/1415548,LCK,Hanwha Life Esports,DRX,Kennen,Olaf,Galio,Ezreal,Bard,Karma,LeeSin,Corki,Lucian,Yuumi
ESPORTSTMNT03/1353714,PCS,Talon Esports,Machi Esports,Sylas,LeeSin,Pantheon,Varus,Braum,Ornn,RekSai,Neeko,Aphelios,Thresh
ESPORTSTMNT03/1441980,OPL,ORDER,Chiefs Esports Club,Sion,Olaf,Orianna,Caitlyn,Morgana,MonkeyKing,Trundle,Azir,Ashe,Lux
6434-8438,LDL,eStar Young,Bilibili Gaming Junior,Renekton,Taliyah,Sett,Aphelios,TahmKench,Camille,Olaf,Sylas,Ashe,Bard
6302-7966,LDL,EDG Youth Team,Rogue Warriors Shark,Aatrox,Olaf,Corki,Aphelios,Thresh,MonkeyKing,Trundle,Kassadin,Kalista,Leona
6354-8160,LDL,Dominus Esports Young,Bilibili Gaming Junior,Volibear,Khazix,Syndra,Kalista,Nautilus,Renekton,LeeSin,Zoe,Ashe,Thresh
6000-7419,LPL,Dominus Esports,Rogue Warriors,Aatrox,JarvanIV,Leblanc,Varus,Leona,Mordekaiser,Olaf,Lissandra,Kaisa,Thresh
ESPORTSTMNT05/1430403,TCL,Galakticos,Royal Youth,Kennen,Trundle,Akali,Kalista,Sett,Renekton,JarvanIV,Ryze,Syndra,Pyke
ESPORTSTMNT02/1385836,BRCC,Rensga eSports,Team oNe eSports,Mordekaiser,Graves,Syndra,Ashe,Braum,MonkeyKing,LeeSin,Malzahar,Ezreal,Soraka
ESPORTSTMNT03/1323606,CK,hyFresh Blade,OZ Gaming,Ornn,Karthus,Jayce,Kaisa,Blitzcrank,Mordekaiser,LeeSin,Zoe,Senna,TahmKench
ESPORTSTMNT03/1341117,CK,OZ Gaming,Jin Air Green Wings,Mordekaiser,Trundle,Ornn,Ezreal,Braum,Renekton,Sett,Leblanc,Kaisa,Nautilus
ESPORTSTMNT02/1411963,LCS,Evil Geniuses,FlyQuest,Rumble,Volibear,Syndra,Ezreal,Nautilus,Sett,Trundle,Corki,Ashe,Thresh
ESPORTSTMNT03/1403595,CK,hyFresh Blade,ESC Shane,Lucian,Volibear,Leblanc,Ashe,TahmKench,Irelia,Trundle,Galio,Senna,Sett
6419-8390,LDL,Victorious Gaming,V5 87,Renekton,LeeSin,Orianna,Jhin,Sett,Jayce,Ekko,Galio,Ashe,Leona
ESPORTSTMNT04/1250405,LEC,Fnatic,MAD Lions,Chogath,Graves,Orianna,Senna,Leona,Renekton,Trundle,Syndra,Ezreal,Pantheon
ESPORTSTMNT04/1250496,LCL,Unicorns Of Love.CIS,Dragon Army,Camille,Nidalee,TwistedFate,Ashe,Sett,Poppy,Graves,Sylas,Jhin,Nautilus
ESPORTSTMNT01/1432867,BRCC,Redemption eSports Porto Alegre,Havan Liberty Gaming,Aatrox,Trundle,Galio,Kaisa,Nautilus,Jayce,Karthus,Syndra,Aphelios,Thresh
6128-7764,LPL,Invictus Gaming,Top Esports,Aatrox,Qiyana,Leblanc,Aphelios,Nautilus,Renekton,LeeSin,Syndra,MissFortune,Alistar
ESPORTSTMNT05/1390241,LEC,Excel Esports,Rogue,Ornn,Taliyah,Pantheon,Aphelios,Nautilus,Mordekaiser,Olaf,Vladimir,Senna,TahmKench
ESPORTSTMNT01/1370231,CBLOL,Flamengo Esports,KaBuM! e-Sports,Vladimir,JarvanIV,Lucian,Ezreal,Yuumi,Jayce,Sett,Zoe,Aphelios,Lulu
6626-8529,LPL,Vici Gaming,Oh My God,Ornn,Trundle,Zoe,Aphelios,Nautilus,Renekton,Volibear,Orianna,KogMaw,Thresh
ESPORTSTMNT03/1331568,LCS,Counter Logic Gaming,Team SoloMid,Rumble,RekSai,Viktor,Varus,TahmKench,Mordekaiser,JarvanIV,Zoe,Ezreal,Senna
ESPORTSTMNT01/1436333,LCK,KT Rolster,T1,Renekton,Volibear,Azir,Ezreal,TahmKench,Camille,Sett,Akali,Aphelios,Thresh
ESPORTSTMNT02/1384871,PCS,Hong Kong Attitude,PSG Talon,Jayce,LeeSin,Fiddlesticks,Ezreal,Karma,Malphite,Trundle,Azir,MissFortune,Yuumi
ESPORTSTMNT02/1321429,LCS,Immortals,Dignitas,Ornn,Pantheon,Syndra,Ezreal,TahmKench,Mordekaiser,Olaf,Orianna,Aphelios,Nautilus
ESPORTSTMNT02/1394747,PCS,Machi Esports,J Team,Malphite,LeeSin,Syndra,Kalista,Nautilus,MonkeyKing,Kindred,Galio,Aphelios,Thresh
ESPORTSTMNT01/1435219,PCS,Liyab Esports,Hong Kong Attitude,Camille,LeeSin,TwistedFate,Aphelios,Blitzcrank,Jax,Trundle,Sylas,Senna,Thresh
6200-7807,LPL,EDward Gaming,Team WE,Aatrox,Nidalee,Syndra,Kalista,Sett,Renekton,Elise,AurelionSol,Aphelios,Nautilus
ESPORTSTMNT01/1315315,CK,OZ Gaming,Element Mystic,Renekton,Elise,Sett,Tristana,Poppy,Aatrox,Sejuani,Neeko,Kalista,Alistar
ESPORTSTMNT02/1321635,LCS,Evil Geniuses,Immortals,Sett,Pantheon,Ryze,Aphelios,Braum,Aatrox,JarvanIV,Viktor,Varus,Rakan
6405-8335,LDL,Suning-S,Legend Esport Gaming,Jayce,RekSai,Ekko,Ezreal,Braum,Aatrox,LeeSin,Syndra,Aphelios,Sett
ESPORTSTMNT02/1323452,OPL,Gravitas,Chiefs Esports Club,Tryndamere,Ivern,Sylas,Graves,Nautilus,Riven,Khazix,Diana,Ezreal,Xerath
ESPORTSTMNT06/1160548,TRA,5 Ronin Academy,Galakticos Academy,Vladimir,JarvanIV,Leblanc,MissFortune,Braum,Irelia,Sejuani,Syndra,Vayne,TahmKench
ESPORTSTMNT03/1330989,OPL,Legacy Esports,MAMMOTH,Soraka,Olaf,Qiyana,Aphelios,Morgana,Fiora,Gragas,Rumble,MissFortune,Rakan
ESPORTSTMNT06/1300369,TCL,İstanbul Wildcats,Royal Youth,Renekton,MonkeyKing,Corki,MissFortune,Yuumi,Malphite,LeeSin,Azir,Varus,Karma
6530-8775,LDL,Victorious Gaming,Legend Esport Gaming,Volibear,Nidalee,Ryze,Ashe,Karma,Gangplank,Graves,Ekko,Caitlyn,Morgana
ESPORTSTMNT04/1140456,LCL,Unicorns Of Love.CIS,Gambit Esports,Neeko,Trundle,Azir,Senna,TahmKench,Renekton,LeeSin,Irelia,Varus,Brand
ESPORTSTMNT01/1291651,CBLOL,Vivo Keyd,INTZ,Ornn,JarvanIV,Ekko,Xayah,Rakan,Kayle,Skarner,Syndra,Senna,Braum
ESPORTSTMNT02/1271051,LCS.A,FlyQuest Academy,Immortals Academy,Aatrox,Elise,Azir,MissFortune,Blitzcrank,Pantheon,JarvanIV,Viktor,Senna,TahmKench
ESPORTSTMNT03/1404226,LCS.A,Golden Guardians Academy,Team Liquid Academy,Gangplank,Graves,TwistedFate,Ashe,Karma,Vladimir,Volibear,Orianna,Aphelios,Braum
ESPORTSTMNT03/1324635,VCS,GAM Esports,EVOS Esports,Mordekaiser,Qiyana,Lucian,Senna,TahmKench,Tristana,RekSai,Ornn,Ezreal,Karma
ESPORTSTMNT03/1341618,LCK,DAMWON Gaming,SANDBOX Gaming,Jayce,Olaf,Zoe,Kalista,Bard,Lucian,Trundle,Syndra,MissFortune,Taric
ESPORTSTMNT01/1390200,BRCC,Havan Liberty Gaming,Team oNe eSports,Mordekaiser,Trundle,Rumble,MissFortune,Nautilus,Sett,RekSai,Viktor,Kalista,Thresh
ESPORTSTMNT06/1160672,LCL,Unicorns Of Love.CIS,Dragon Army,Zac,Kindred,Chogath,Senna,TahmKench,Mordekaiser,Karthus,Lucian,Varus,Lulu
6091-7644,LPL,Invictus Gaming,EDward Gaming,Aatrox,Sett,Syndra,Aphelios,Braum,Kennen,Trundle,Azir,MissFortune,Leona
ESPORTSTMNT03/1405661,LCK,SeolHaeOne Prince,SANDBOX Gaming,Volibear,Graves,Leblanc,Ezreal,TahmKench,Kennen,Trundle,Syndra,Kalista,Nautilus
ESPORTSTMNT05/1430620,LCS.A,Dignitas Academy,Evil Geniuses Academy,Sett,Pantheon,Syndra,Ezreal,Braum,Ornn,LeeSin,Zoe,Vayne,Nautilus
ESPORTSTMNT01/1323375,OPL,MAMMOTH,Dire Wolves,Fiora,Gragas,Ekko,Ezreal,Yuumi,Camille,LeeSin,Ryze,Kaisa,Nautilus
5952-7305,LPL,LNG Esports,Oh My God,Ornn,RekSai,Zoe,Kalista,Braum,Sett,LeeSin,Diana,MissFortune,Leona
6396-8303,LDL,Suning-S,Bilibili Gaming Junior,Aatrox,Graves,Zoe,Ashe,Braum,Mordekaiser,Trundle,Kassadin,Aphelios,Thresh
ESPORTSTMNT02/1392007,LCS,Dignitas,Counter Logic Gaming,Aatrox,Graves,Leblanc,Kalista,Bard,Volibear,Sett,TwistedFate,Aphelios,Lulu
6163-7750,LDL,EDG Youth Team,Royal Club,Renekton,Ekko,Qiyana,Ezreal,Yuumi,Aatrox,Elise,Kassadin,Aphelios,Thresh
6064-7544,LPL,Top Esports,Team WE,Renekton,Elise,Zoe,Xayah,Rakan,MonkeyKing,Olaf,AurelionSol,MissFortune,Alistar
5973-7353,LPL,Bilibili Gaming,Oh My God,Camille,Elise,Varus,MissFortune,Nautilus,Renekton,LeeSin,Zoe,Caitlyn,TahmKench
ESPORTSTMNT03/1412995,LCK,KT Rolster,DRX,Maokai,RekSai,Orianna,Varus,Aatrox,Camille,LeeSin,Sylas,Kalista,Nautilus
ESPORTSTMNT03/1350856,CBLOL,Redemption eSports Porto Alegre,Prodigy Esports,Sett,LeeSin,Corki,Varus,Thresh,Neeko,Trundle,Azir,Aphelios,TahmKench
6479-8598,LDL,Dominus Esports Young,WanZhen Esports Club,Camille,Sylas,Galio,Ashe,Thresh,Renekton,LeeSin,Syndra,Xayah,Nautilus
6488-8624,LDL,Victorious Gaming,Shu Dai Xiong Gaming,Ornn,Volibear,Orianna,Aphelios,Thresh,MonkeyKing,Ekko,Sett,Ashe,Rumble
ESPORTSTMNT01/1435244,LCK,Team Dynamics,KT Rolster,Jayce,Sejuani,Lucian,Heimerdinger,Senna,Kennen,Olaf,Zoe,Ashe,Lulu
ESPORTSTMNT04/1120927,LFL,Misfits Premier,LDLC OL,Aatrox,Elise,Syndra,MissFortune,Thresh,Gangplank,LeeSin,Leblanc,Senna,TahmKench
ESPORTSTMNT02/1294724,LJL,Burning Core,Rascal Jester,Sett,LeeSin,Azir,MissFortune,Morgana,Kayle,JarvanIV,Rumble,Ezreal,Nautilus
ESPORTSTMNT03/1411856,PCS,Alpha Esports,Resurgence,Renekton,Nidalee,Irelia,Aphelios,Leona,Jayce,Volibear,Ryze,Ezreal,Bard
6702-8986,WCS,Invictus Gaming,LGD Gaming,Vladimir,Sett,Zoe,Jhin,Nautilus,Ornn,LeeSin,Orianna,Ezreal,Leona
ESPORTSTMNT03/1382494,MSC,DRX,JD Gaming,Sett,Trundle,Rumble,Kalista,Pyke,Aatrox,Ekko,Syndra,Aphelios,TahmKench
ESPORTSTMNT02/1296648,CK,Element Mystic,OZ Gaming,Mordekaiser,Gragas,Varus,Jhin,Pyke,Gangplank,Sejuani,Leblanc,Ezreal,Senna
ESPORTSTMNT05/1540051,TRA,Galakticos Academy,Dark Passage Academy,Ornn,Nidalee,Orianna,Ashe,Thresh,MonkeyKing,LeeSin,Azir,Senna,TahmKench
ESPORTSTMNT06/1300821,TCL,Galatasaray Esports,Galakticos,Galio,Olaf,Karma,Aphelios,Leona,Ornn,Graves,Corki,Ezreal,Senna
ESPORTSTMNT03/1352548,LCK,DRX,DAMWON Gaming,Ornn,Sejuani,Leblanc,Aphelios,Morgana,Sett,Sylas,Zoe,Ezreal,Bard
ESPORTSTMNT03/1442070,CBLOL,paiN Gaming,Prodigy Esports,Ornn,Karthus,TwistedFate,Ezreal,Leona,Renekton,Volibear,Galio,Sivir,TahmKench
6498-8664,LDL,eStar Young,V5 87,Camille,Karthus,Renekton,Ashe,Leona,Jayce,LeeSin,Orianna,Ezreal,Nautilus
6622-8491,LPL,Top Esports,Dominus Esports,Kennen,Volibear,Azir,Ezreal,Bard,MonkeyKing,Graves,Galio,Ashe,Karma
6275-7875,LDL,LinGan e-Sports,Top Esports Challenger,Aatrox,JarvanIV,Leblanc,Ezreal,Sett,Ornn,Trundle,Ekko,Kaisa,Nautilus
ESPORTSTMNT04/1140201,LCL,Gambit Esports,Dragon Army,Aatrox,Gragas,Ornn,Ezreal,Yuumi,Gangplank,RekSai,Leblanc,Senna,TahmKench
